Date,Open,High,Low,Close,Volume,Adj Close
01-10-1996,7.16,8,6.61,7.54,358100,0.7
02-09-1996,7.4,7.6,7.02,7.16,352700,0.66
01-08-1996,7.1,7.6,6.65,7.37,458800,0.68
01-07-1996,8.02,8.05,6.58,7.04,2342500,0.65
03-06-1996,6.83,8.34,6.75,7.98,2550800,0.74
01-05-1996,7.09,7.55,6.4,6.83,638200,0.63
01-04-1996,6.49,8.2,6.48,7.09,1165500,0.66
01-03-1996,6.13,6.62,5.8,6.49,333800,0.6
01-02-1996,5.18,7.6,5.2,6.13,600400,0.57
01-01-1996,6.06,6.06,4.79,5.18,181400,0.48
